index,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,sentences_tone,document_tones,joy,analytical,sadness,tentative,confident,fear,anger
4010,edwincwc,maga 🇺🇸 make china 🇨🇳 weak again! #votetrump2020 ❤️dogs/cats/owls 🚫dm ifbp  #kag2020 #standwithhk #standwithuyghurs #chinaliedpeopledied,"milky way, earth🌏",29193,28813,24942,2009-06-24 16:09:43,2020-06-21 02:34:51,2,"@weijia It is what it is ""Kung-Flu"", Chinese Virus !
Dont bring up ""Racist"" card again. Try something else.",[],['@weijia'],"kung-flu chinese virus 
dont bring racist card try something else","[{'sentence_id': 0, 'text': 'kung-flu chinese virus ', 'tones': []}, {'sentence_id': 1, 'text': 'dont bring racist card try something else', 'tones': [{'score': 0.660937, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.974201, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]","[{'score': 0.710582, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.99277, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,1.0,,,
4011,Fentanyl_Patch,one china one virus,wuhan lab.,412,21,1585,2019-11-09 12:46:23,2020-06-20 01:55:25,0,@globaltimesnews @ScienceMagazine Breaking : WHO just declared that now onwards COVID 19 will be called as Wuhan Virus.,[],"['@globaltimesnews', '@ScienceMagazine']",break declare onwards covid call wuhan virus,,"[{'score': 0.571392, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.961593, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,,,,
4012,jojomg,n.a,n.a,177,23,1920,2009-03-26 21:38:58,2020-06-22 03:19:44,0,"@Bridgett76mill @HKrassenstein @realDonaldTrump What experts ? He wants to stop testing so the numbers won’t get higher ! That’s crazy we need science , we need to deal with covid 19 trump pretending it’s gone doesn’t make it fine",[],"['@Bridgett76mill', '@HKrassenstein', '@realDonaldTrump']",expert want stop test number won’t get high that’s crazy need science need deal covid trump pretend it’s go doesn’t make fine,,[],,,,,,,
4013,StoptionalTO,advocate for pedestrians and cyclists. calling out #topoli for their indifference #stoptionalto,"toronto, ontario",262,207,3259,2015-07-24 23:32:28,2020-06-22 01:17:52,1,"@StoptionalTO @311Toronto @JohnTory @JohnFilionTO Truthfully, we only got flukey lucky because of Covid-19 pandemic &amp; City trying to avoid physical distancing liabilities. Next pandemic in about 100 years,... now, we'll likely have next wave - to complain for! #KeepComplaining #ItTakesAPandemicToFinallyGetThingsDone #Willowdale",[],"['@StoptionalTO', '@311Toronto', '@JohnTory', '@JohnFilionTO']",truthfully get flukey lucky pandemic amp city try avoid physical distancing liability next pandemic year we'll likely next wave complain,,"[{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,1.0,,,
4014,GaryPJackson3,"coolidge-reagan conservative opponent of statism and nationalism proudly #neverevertrump since the 1985 former record holding, championship winning drag racer",n.a,258,68,7732,2020-05-22 20:36:01,2020-06-20 03:18:02,0,"@CynicallyJaded @livelifecomplet @benshapiro Brooks shot a man when he was 14. Was a drug dealer.  He had been convicted of numerous felonies including beating his wife and kids, and kidnapping.

He was only out of prison because of the Chinese virus.  He had a warrant out for his arrest.  

He tried to murder the police!",[],"['@CynicallyJaded', '@livelifecomplet', '@benshapiro']","brook shot man drug dealer convict numerous felony include beat wife kid kidnapping.

he prison chinese virus warrant arrest 

he try murder police","[{'sentence_id': 0, 'text': 'brook shot man drug dealer convict numerous felony include beat wife kid kidnapping.', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'he prison chinese virus warrant arrest ', 'tones': []}, {'sentence_id': 3, 'text': '', 'tones': []}, {'sentence_id': 4, 'text': 'he try murder police', 'tones': [{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]","[{'score': 0.664175, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,1.0,,,
4015,spicyespana,"love of god & this great nation.. mom of iraq veteran.. daughter of army vet, sister of marine/navy vet..#wwg1wga #q #inittogether",united states,544,455,4097,2020-02-23 05:38:55,2020-06-21 03:32:06,0,The Governor probably promised them a hand out they’ll nvr get bc she is going to blow all the 💵 given to the State due to the Chinese f-ing virus..why don’t u ask her where did all the surplus go!! Or for the real Chinese f-ing virus #’s. Or why the hell r we still on phase 2! https://t.co/OoyVXLyMKM,[],[],governor probably promise hand they’ll nvr get bc go blow give state due chinese f-ing virus..why don’t ask surplus go real chinese f-ing virus hell still phase,,[],,,,,,,
4016,LlanosJela_,n.a,n.a,210,545,4925,2017-03-07 14:14:02,2020-06-21 03:31:28,1264,huhuhu I really miss how life was before the corona virus 🥺👉🏼👈🏼,[],[],huhuhu really miss life corona virus,,"[{'score': 0.88846, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,,,,
4017,lauryndeshaye,"inna relationship with my man, rj🤍","lakeland, fl",248,290,7370,2016-03-06 01:54:35,2020-06-22 03:20:12,1,covid 19 is the devil.. it’s real guys !,[],[],covid devil it’s real guy,,"[{'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,,1.0,,
4018,M_Facine,não gosto de muitas coisas...,terra,78,14,326,2018-12-14 15:06:25,2020-06-22 01:21:23,37501,"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and should not be spread at an indoor rally. More importantly, maybe people are catching on that he is a pathological liar and a fraud. Let's keep fighting.",[],[],trump bad night tulsa low turnout even supporter know real dangerous spread indoor rally importantly maybe people catch pathological liar fraud let's keep fighting,,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,1.0,,,
4019,Crutch4,southern. co-founder #blktwitterstorians | reader | learner | phd student at @blackstudiesut | he/him,"austin, tx",4846,7708,242180,2008-09-24 21:27:05,2020-06-23 01:26:49,648,".@govabbott said “COVID-19 is now spreading at an unacceptable rate in Texas and it must be corralled.” 

But he stopped short of introducing any new policies or pulling back on the reopening of Texas businesses. https://t.co/bzmJKRSQuR",[],['@govabbott'],"say spread unacceptable rate texas must corralled.” 

but stop short introduce new policy pull back reopen texas business","[{'sentence_id': 0, 'text': 'say spread unacceptable rate texas must corralled.”', 'tones': [{'score': 0.866924, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'but stop short introduce new policy pull back reopen texas business', 'tones': []}]","[{'score': 0.751838, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.848841, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,,1.0,,
4020,DCclone,"""right matters. truth matters. otherwise we are lost""",modern life,631,198,1150,2016-05-03 20:12:49,2020-06-23 01:08:03,0,"3. By saying COVID wasn't that bad and not preparing America for the virus, we are now inundated with cases and deaths. Nearly 2.4 million cases and 120K deaths. 

4. The American economy is in really bad shape. 20 million unemployed",[],[],say covid bad preparing america virus inundated case deaths nearly million case deaths american economy really bad shape million unemployed,,"[{'score': 0.613424, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,,,,
4021,JrKambewa,chelsea fc fanatic,"mashonaland central, zimbabwe",1946,1300,44053,2014-08-26 07:45:23,2020-06-22 01:36:16,128,"The hospitals are deserted, there are no nurses, there is no COVID-19 screening, there is nobody to deliver babies, and somewhere up its business as usual. This is not right.  @MoHCCZim @SeniorDoctors @ZHDAofficial @nickmangwana @ZBCNewsonline @NewsDayZimbabwe @healthtimeszim",[],"['@MoHCCZim', '@SeniorDoctors', '@ZHDAofficial', '@nickmangwana', '@ZBCNewsonline', '@NewsDayZimbabwe', '@healthtimeszim']",hospital desert nurse screen nobody deliver baby somewhere business usual right,,"[{'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,1.0,,,
4022,NextStopNirvana,everything from here to there.,n.a,22,4,370,2014-09-26 15:36:34,2020-06-22 03:21:45,3,"@VMuselova @JordanSchachtel @starboard_light The science/media sources quoted in headline Google-Apple algorithm news is doubling down on masks. During the dark days of Covid-19 Jan-March, amazingly we were *discouraged* from wearing face covering (see Fauci), now it’s a sign of compliance and virtue.",[],"['@VMuselova', '@JordanSchachtel', '@starboard_light']",science/media source quote headline google-apple algorithm news double mask dark day jan-march amazingly discourage wear face cover see fauci it’s sign compliance virtue,,"[{'score': 0.659739, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
4023,philipjanpaul,"retired, investing, and happy! #maga #buildthatwall #kag #draintheswamp #turnout2020","columbus, ohio/ traveling",11163,10407,21753,2014-09-22 05:27:30,2020-06-21 02:42:04,1239,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]","[{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,1.0,,,
4024,tones1957,"hold the left accountable, government & politics ncaa football nfl, maga, kag, #unitedwestand, #maga, #kag, #keepingamericagreat, #buildthewall","powell, oh",6861,6354,12360,2016-11-15 13:47:44,2020-06-21 03:43:48,1793,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]","[{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,1.0,,,
4025,DarkMavid4492,"it's pronounced may-vid.

i play fighting games and jrpgs. i also consider myself somewhat of a musician. bang main in bbcf. 801 fgc.","utah, usa",307,237,41731,2016-03-22 13:04:54,2020-06-23 01:09:31,40661,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,1.0,,,
4026,bek_johns,#blm // uts comms/law // enneagram 5w4,n.a,114,23,579,2013-01-01 04:17:56,2020-06-23 01:27:26,45964,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,,"[{'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,1.0,,,
4027,Kristophalis,"psych enthusiast, web/graphic designer, and insomniac.","california, usa",466,233,4010,2014-01-28 21:43:35,2020-06-23 01:26:46,46219,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.,[],[],reason america isn’t recover quickly country country value individualism collectivism nobody want anything minor inconvenience order protect neighbor,,"[{'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,1.0,,,
4028,brendangill11,memento mori,n.a,240,356,5454,2011-10-16 19:15:13,2020-06-20 02:54:41,25297,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,,"[{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,,1.0,,
4029,Micksssyy,ha?,n.a,292,98,1675,2014-10-26 13:22:15,2020-06-21 02:19:26,936,huhuhu I really miss how life was before the corona virus 🥺👉🏼👈🏼,[],[],huhuhu really miss life corona virus,,"[{'score': 0.88846, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,,,,
4030,Dave_DSG,"comic book fan, news about comics, science fiction and movies / fanático de los cómics, noticias de cómics y ciencia ficción #fanbaseculture @uncomicmas",the north of southamerica,1128,1860,155015,2010-09-02 16:02:21,2020-06-21 03:46:11,0,"Don't miss the second scary and heart breaker chapter of this cómic by @AWA_Studios and @NBCNews

Covid Chronicles, Vol. 2: 'I think this virus is trying to kill me' https://t.co/2uqulDAfw3 vía @NBCNewsTHINK

#Covid_19",['covid_19'],"['@AWA_Studios', '@NBCNews', '@NBCNewsTHINK']","miss second scary heart breaker chapter cómic 

covid chronicle vol think virus try kill vía 

","[{'sentence_id': 0, 'text': 'miss second scary heart breaker chapter cómic ', 'tones': [{'score': 0.781944, 'tone_id': 'fear', 'tone_name': 'Fear'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'covid chronicle vol think virus try kill vía', 'tones': [{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]","[{'score': 0.719827, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.808202, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.720783, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,1.0,,1.0,
4031,MyCityNewsca,we are your community reporter. exciting news from your community. connecting communities around canada. become our reporter for your community. #mycitynewsca,toronto - canada,331,75,33848,2014-06-29 04:54:54,2020-06-22 01:20:54,0,Alberta and B.C. have reported hundreds of ‘excess deaths’ that weren’t linked to COVID-19 https://t.co/cd5hc62jQ6,[],[],alberta b.c report hundred ‘excess deaths’ weren’t link,,"[{'score': 0.793846, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,,1.0,,
4032,gloriawoody4,"love jesus, love america, love my family, love my animals, love president trump🇺🇸
and i love my guns😌",united states,6304,6225,85917,2017-01-27 20:16:52,2020-06-21 03:20:09,1683,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]","[{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,1.0,,,
4033,AngryLeftOkie,"leftist, mei main, druid main, internet spaceship pilot since 2009, does not play well with centrist democraps.","california, usa",2967,2678,124224,2009-11-30 22:43:23,2020-06-21 03:19:56,24,"Trump said he wanted to slow down testing so there would be less cases reported, then compared Covid to the sniffles. I lost my dancer instructor/mentor to this deadly virus. She was the picture of health. How dare he diminish the ppl who have suffered and died. F all the way off",[],[],trump say wanted slow test would less case report compare covid sniffle lose dancer instructor/mentor deadly virus picture health dare diminish ppl suffer die way,,"[{'score': 0.741965, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
4034,ViudaAlegre13,"no lists plz

never.ever.trump.🌊 🌊
daughter - mother - niece - advocate.",🌎,5718,5381,129402,2011-10-05 10:51:39,2020-06-22 03:21:52,103,Did y’all know @camporossopizza has been providing meals to medical workers fighting COVID-19 and their families? Got to dine at this small business in Fort Mitchell today with supporters and volunteers. https://t.co/0uYR97ZNvr,[],['@camporossopizza'],y’all know provide meal medical worker fight family get dine small business fort mitchell today supporter volunteer,,[],,,,,,,
4035,Marykdonohoe,"proud mother, wife, daughter, sister, nurse, child advocate, disability advocate.",n.a,345,181,30823,2013-09-15 21:29:43,2020-06-21 03:16:08,10360,6 members of Trump's Tulsa advance staff have tested positive for COVID-19. Each may have infected hundreds with the virus already.,[],[],member trump's tulsa advance staff test positive may infect hundred virus already,,[],,,,,,,
4036,LibertyNow11,"independent, both in politics & thinking. hypocrites, twitter “experts”, #maskholes, and hateful bots will be muted or blocked at my discretion.",iowa,181,625,6642,2020-03-29 22:51:47,2020-06-23 01:09:37,59,"We have the data

COVID is no deadlier than the seasonal flu and barely affects the young

We also now know asymptomatic people don’t spread the virus

I’m healthy, no symptoms, and don’t care if I catch it

Thus, I’m not wearing a damn facemask",[],[],"data

covid deadlier seasonal flu barely affect young

we also know asymptomatic people don’t spread virus

i’m healthy symptom don’t care catch it

thus i’m wear damn facemask","[{'sentence_id': 0, 'text': 'data', 'tones': []}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'covid deadlier seasonal flu barely affect young', 'tones': [{'score': 0.818823, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': '', 'tones': []}, {'sentence_id': 4, 'text': 'we also know asymptomatic people don’t spread virus', 'tones': [{'score': 0.803567, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 5, 'text': '', 'tones': []}, {'sentence_id': 6, 'text': 'i’m healthy symptom don’t care catch it', 'tones': [{'score': 0.614411, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 7, 'text': '', 'tones': []}, {'sentence_id': 8, 'text': 'thus i’m wear damn facemask', 'tones': [{'score': 0.624778, 'tone_id': 'anger', 'tone_name': 'Anger'}]}]","[{'score': 0.842476, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.586281, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,1.0,,,
4037,sagitldy,"jersey girl, wife, mom, animal lover, seriously addicted to knitting, disney and taking that perfect beach picture.",jersey shore,181,127,5510,2009-05-19 23:01:05,2020-06-23 01:28:53,188,"I know good news doesn’t sell and will never make the evening news, but good news: coronavirus deaths continue to fall.  

Daily COVID-19 Deaths in the U.S. Have Fallen Dramatically Since April – https://t.co/1OcLJizCrt https://t.co/GTb5a02Feu",[],[],"know good news doesn’t sell never make even news good news coronavirus death continue fall 

daily death u.s fall dramatically since april","[{'sentence_id': 0, 'text': 'know good news doesn’t sell never make even news good news coronavirus death continue fall ', 'tones': [{'score': 0.502784, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.778622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'daily death u.s fall dramatically since april', 'tones': [{'score': 0.742226, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]","[{'score': 0.645183, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.926725, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,1.0,,,
